player,tier,window,cs_min,vis_min,deaths_min,ctrl_wards,kp,n_champs,role_entropy,n_roles,cur_wr,fwd_wr,game_version
0,IRON,0,4.751574255285804,0.6184882424661684,0.24931913140319417,0.9,0.27611707150556647,5,1.0,2,0.2,0.3,16.12.786.9679
0,IRON,1,5.133093666721177,0.6631875088191862,0.20847108346501453,0.6,0.393707444781855,5,0.7219280948873623,2,0.3,0.2,16.12.788.4269
0,IRON,2,4.927652943065672,0.6553124772672132,0.19572599224303464,0.4,0.3405039478065794,6,0.7219280948873623,2,0.2,0.2,16.12.788.4269
1,IRON,0,5.761503392516337,0.521954650784971,0.21220955623438825,0.1,0.4159617598339106,5,0.5816718657178868,3,0.4,0.1,15.24.734.7485
3,IRON,0,5.644850661498325,1.2354222880651278,0.0932966096858965,1.6,0.43107755575612716,3,0.9602297178607612,3,0.7,0.5,16.13.791.5903
3,IRON,1,5.690573414522845,0.9452511746674176,0.18755383126789832,0.7,0.4295249825296995,4,0.5816718657178868,3,0.5,0.6,16.13.791.5903
4,IRON,0,4.609490586932113,0.42787491032104674,0.280308600354812,0.0,0.41223696795791487,4,0.5816718657178868,3,0.3,0.5,16.9.772.1032
4,IRON,1,4.85465567283094,0.44688772736173055,0.24671316338374555,0.1,0.34153680421246374,4,0.46899559358928117,2,0.5,0.4,16.9.772.1032
7,IRON,0,nan,1.6209636145575452,0.14388676256137733,3.7,0.42651447883908433,2,0.0,1,0.4,0.6,16.9.772.1032
7,IRON,1,nan,1.6450873793569687,0.150119581157747,4.4,0.451362328234379,2,0.0,1,0.6,0.4,16.9.772.8292
10,BRONZE,0,4.942921713533181,0.6040578083934772,0.19541484385876448,0.6,0.41230047089195604,8,0.9709505944546688,2,0.5,0.5,15.23.728.3286
10,BRONZE,1,5.704980095381755,0.8914178294078324,0.17845242113590795,0.3,0.4558932774150165,5,0.9709505944546688,2,0.5,0.7,16.9.772.8292
11,BRONZE,0,6.467811062165631,0.9082829645826156,0.2237257344138713,0.0,0.3133041183903166,2,0.46899559358928117,2,0.5,0.5,16.2.741.3171
11,BRONZE,1,6.725279823724707,0.8025950120836045,0.21346587628027258,0.0,0.286887482951831,2,0.46899559358928117,2,0.5,0.4,16.3.745.7600
