source,tier,match_id,participant_id,is_dj,position,champion,win,game_version,game_min,cs10,cs14,cspm_0_10,cspm_10_20,cs10_delta,xp10_delta,gold10_delta,deaths_pre10,first_death_min,died,wards_pm_pre20,wardkills_pre20,cw_pre20,first_cw_min,first_leg_min,early_kp,b_team_dragons,b_team_towers,b_kda,b_gold_share,b_dmg_share,b_kp,b_game_min,b_win
cohort,BRONZE,NA1_5461780530,1,0,TOP,Darius,0,16.1.737.4870,37.78,72,111,7.2,9.6,20,763,1130,1,8.836,1,0.25,0,0,,16.863,0.1176,3,9,1.6,0.2013,0.1826,0.3019,37.78,0
cohort,BRONZE,NA1_5461780530,2,0,JUNGLE,Warwick,0,16.1.737.4870,37.78,62,73,6.2,5.5,18,33,-1991,4,4.622,1,13.2,1,1,9.888,9.59,0.5294,3,9,2.071,0.2133,0.1593,0.5472,37.78,0
cohort,BRONZE,NA1_5461780530,3,0,MIDDLE,Galio,0,16.1.737.4870,37.78,62,74,6.2,4.0,3,-437,-212,3,2.598,1,0.3,0,0,,9.97,0.6471,3,9,3.5,0.1703,0.1625,0.6604,37.78,0
cohort,BRONZE,NA1_5461780530,4,0,BOTTOM,Vayne,0,16.1.737.4870,37.78,39,61,3.9,5.1,-15,-249,-1095,3,4.518,1,0.5,1,2,3.042,13.786,0.2941,3,9,1.667,0.1976,0.1964,0.4717,37.78,0
cohort,BRONZE,NA1_5461780530,5,0,UTILITY,Xerath,0,16.1.737.4870,37.78,15,19,1.5,2.4,5,-881,-504,4,2.001,1,0.5,1,1,2.214,11.121,0.5882,3,9,2.267,0.2174,0.2992,0.6415,37.78,0
cohort,BRONZE,NA1_5461780530,6,0,TOP,Gwen,1,16.1.737.4870,37.78,52,75,5.2,8.4,-20,-763,-1130,2,1.305,1,0.3,0,0,,13.903,0.08,3,7,4.167,0.2125,0.1783,0.3906,37.78,1
cohort,BRONZE,NA1_5461780530,7,0,JUNGLE,Briar,1,16.1.737.4870,37.78,44,50,4.4,3.2,-18,-33,1991,2,3.715,1,0.35,0,0,,9.043,0.68,3,7,2.278,0.2027,0.1997,0.6406,37.78,1
cohort,BRONZE,NA1_5461780530,8,0,MIDDLE,Vex,1,16.1.737.4870,37.78,59,85,5.9,6.9,-3,437,212,1,9.436,1,0.35,2,0,,9.677,0.44,3,7,3.778,0.2159,0.2197,0.5312,37.78,1
cohort,BRONZE,NA1_5461780530,9,0,BOTTOM,Zeri,1,16.1.737.4870,37.78,54,68,5.4,5.9,15,249,1095,2,2.062,1,0.25,1,0,,9.061,0.6,3,7,3.455,0.2291,0.3243,0.5938,37.78,1
cohort,BRONZE,NA1_5461780530,10,0,UTILITY,Thresh,1,16.1.737.4870,37.78,10,10,1.0,0.0,-5,881,504,0,10.405,1,0.05,0,0,,10.641,0.56,3,7,4.333,0.1397,0.078,0.6094,37.78,1
cohort,BRONZE,NA1_5461820514,1,0,TOP,Malphite,0,16.1.737.4870,34.23,54,81,5.4,6.5,-28,-261,-59,0,18.584,1,0.3,0,0,,14.191,0.2222,2,4,3.167,0.1939,0.1778,0.5938,34.23,0
cohort,BRONZE,NA1_5461820514,2,0,JUNGLE,DrMundo,0,16.1.737.4870,34.23,45,77,4.5,5.2,1,-131,-327,0,14.029,1,0.55,3,3,4.688,13.312,0.3333,2,4,2.714,0.2102,0.1954,0.5938,34.23,0
cohort,BRONZE,NA1_5461820514,3,0,MIDDLE,Malzahar,0,16.1.737.4870,34.23,74,107,7.4,6.2,11,448,423,3,2.648,1,0.35,1,0,,9.591,0.4444,2,4,1.917,0.2232,0.296,0.7188,34.23,0
cohort,BRONZE,NA1_5461820514,4,0,BOTTOM,Sivir,0,16.1.737.4870,34.23,47,81,4.7,9.0,-4,418,-438,0,12.071,1,0.4,2,0,,12.368,0.3333,2,4,1.2,0.2083,0.1336,0.375,34.23,0
cohort,BRONZE,NA1_5461820514,5,0,UTILITY,Neeko,0,16.1.737.4870,34.23,14,16,1.4,1.1,-9,-658,424,2,4.445,1,0.9,1,0,,14.308,0.3333,2,4,1.417,0.1643,0.1972,0.5312,34.23,0
cohort,BRONZE,NA1_5461820514,6,0,TOP,Yorick,1,16.1.737.4870,34.23,82,124,8.2,7.7,28,261,59,1,5.423,1,7.35,0,0,,10.997,0.0,3,11,1.429,0.1542,0.1635,0.2128,34.23,1
cohort,BRONZE,NA1_5461820514,7,0,JUNGLE,Rammus,1,16.1.737.4870,34.23,44,66,4.4,3.5,-1,131,327,1,8.822,1,0.3,1,0,,8.879,0.5,3,11,3.429,0.1734,0.1209,0.5106,34.23,1
cohort,BRONZE,NA1_5461820514,8,0,MIDDLE,Vex,1,16.1.737.4870,34.23,63,87,6.3,5.7,-11,-448,-423,1,8.801,1,0.4,0,0,,11.42,0.5,3,11,4.667,0.2162,0.2956,0.5957,34.23,1
cohort,BRONZE,NA1_5461820514,9,0,BOTTOM,MissFortune,1,16.1.737.4870,34.23,51,79,5.1,5.8,4,-418,438,3,2.985,1,0.4,1,0,,11.066,0.6,3,11,3.625,0.2942,0.2547,0.617,34.23,1
cohort,BRONZE,NA1_5461820514,10,0,UTILITY,Galio,1,16.1.737.4870,34.23,23,31,2.3,2.7,9,658,-424,0,12.684,1,0.7,3,2,4.628,15.014,0.6,3,11,7.25,0.162,0.1654,0.617,34.23,1
cohort,BRONZE,NA1_5461859808,1,0,TOP,Gragas,0,16.1.737.4870,26.03,49,74,4.9,3.8,5,561,161,1,1.779,1,0.25,0,0,,13.89,0.5,0,1,1.0,0.2266,0.2419,0.5294,26.03,0
cohort,BRONZE,NA1_5461859808,2,0,JUNGLE,Warwick,0,16.1.737.4870,26.03,46,72,4.6,6.3,3,-135,-383,3,5.49,1,26.45,2,0,,10.78,0.25,0,1,0.538,0.2152,0.2008,0.4118,26.03,0
cohort,BRONZE,NA1_5461859808,3,0,MIDDLE,Akshan,0,16.1.737.4870,26.03,46,61,4.6,4.7,-17,-339,-405,2,8.093,1,1.35,1,0,,15.03,0.25,0,1,0.833,0.2049,0.2513,0.5882,26.03,0
cohort,BRONZE,NA1_5461859808,4,0,BOTTOM,Corki,0,16.1.737.4870,26.03,45,68,4.5,5.5,-13,-880,-1245,0,12.889,1,0.45,0,1,4.07,16.481,0.0,0,1,1.0,0.2026,0.118,0.2941,26.03,0
cohort,BRONZE,NA1_5461859808,5,0,UTILITY,Xerath,0,16.1.737.4870,26.03,10,16,1.0,1.2,-1,-372,-489,2,3.702,1,0.65,2,3,6.565,20.311,0.0,0,1,0.6,0.1507,0.188,0.3529,26.03,0
cohort,BRONZE,NA1_5461859808,6,0,TOP,Poppy,1,16.1.737.4870,26.03,44,60,4.4,5.1,-5,-561,-161,1,5.649,1,0.45,0,1,9.819,15.991,0.25,3,8,4.6,0.191,0.3004,0.4694,26.03,1
cohort,BRONZE,NA1_5461859808,7,0,JUNGLE,Rammus,1,16.1.737.4870,26.03,43,71,4.3,5.3,-3,135,383,0,10.191,1,0.3,1,0,,10.315,0.5,3,8,4.8,0.1935,0.1657,0.4898,26.03,1
cohort,BRONZE,NA1_5461859808,8,0,MIDDLE,Vex,1,16.1.737.4870,26.03,63,98,6.3,9.2,17,339,405,0,23.452,1,0.4,0,0,,11.234,0.4375,3,8,21.0,0.2236,0.2513,0.4286,26.03,1
cohort,BRONZE,NA1_5461859808,9,0,BOTTOM,MissFortune,1,16.1.737.4870,26.03,58,98,5.8,8.6,13,880,1245,0,19.771,1,0.25,0,0,,11.415,0.5,3,8,12.0,0.256,0.14,0.4898,26.03,1
cohort,BRONZE,NA1_5461859808,10,0,UTILITY,Neeko,1,16.1.737.4870,26.03,11,19,1.1,1.4,1,372,489,1,6.717,1,0.6,5,2,6.969,11.417,0.375,3,8,4.0,0.1358,0.1426,0.3265,26.03,1
cohort,BRONZE,NA1_5472628836,1,0,TOP,Warwick,1,16.2.740.1491,24.07,73,104,7.3,8.4,40,918,1536,0,,0,23.15,2,0,,15.75,0.4,4,11,14,0.2163,0.2487,0.4828,24.07,1
cohort,BRONZE,NA1_5472628836,2,0,JUNGLE,Shyvana,1,16.2.740.1491,24.07,57,92,5.7,7.5,0,-14,31,0,23.391,1,0.5,2,4,13.831,13.782,0.3,4,11,12.0,0.1885,0.1103,0.4138,24.07,1
