match_id,game_creation_utc,queue_id,game_mode,duration_s,duration_min,remake,win,champion,position,kill,death,assist,kda_ratio,cs_lane,cs_jungle,cs_total,cs_per_min,gold,dmg_to_champs,dmg_taken,vision_score,wards_placed,control_wards,level,largest_multikill,first_blood,turret_kills,game_version
NA1_5569362246,2026-05-27T14:28:47Z,480,SWIFTPLAY,983,16.4,False,False,Vladimir,Invalid,0,0,0,,0,0,0,0.0,10299,0,0,0,0,0,3,0,False,0,16.10.776.5552
NA1_5569366540,2026-05-27T14:55:23Z,480,SWIFTPLAY,1218,20.3,False,False,Vladimir,Invalid,0,2,1,0.5,44,0,44,2.17,12563,879,18352,1,2,0,15,0,False,0,16.10.776.5552
NA1_5569371605,2026-05-27T15:18:17Z,480,SWIFTPLAY,79,1.3,True,True,Vladimir,TOP,0,0,0,,1,0,1,0.76,1450,279,300,0,0,0,3,0,False,0,16.10.776.5552
NA1_5569375385,2026-05-27T15:24:45Z,480,SWIFTPLAY,1354,22.6,False,False,Vladimir,TOP,1,6,3,0.67,97,0,97,4.3,14514,3985,26237,3,2,0,18,1,False,0,16.10.776.5552
NA1_5570689326,2026-05-29T14:29:27Z,400,CLASSIC,1725,28.8,False,False,Vladimir,TOP,2,6,3,0.83,130,0,130,4.52,8252,7153,21030,4,2,0,15,1,False,0,16.11.781.1789
NA1_5570698319,2026-05-29T15:04:30Z,400,CLASSIC,1833,30.6,False,True,Vladimir,TOP,1,2,3,2.0,141,0,141,4.62,7785,4075,18112,0,0,0,16,1,False,0,16.11.781.1789
NA1_5574122736,2026-06-03T13:30:12Z,400,CLASSIC,1673,27.9,False,True,Vladimir,TOP,1,2,1,1.0,142,0,142,5.09,7268,4878,15115,11,7,0,16,1,False,1,16.11.782.9736
NA1_5574127328,2026-06-03T14:10:19Z,400,CLASSIC,2235,37.2,False,False,Vladimir,TOP,2,8,6,1.0,148,0,148,3.97,9236,8754,33374,8,3,0,17,2,False,1,16.11.782.9736
NA1_5574136669,2026-06-03T14:57:39Z,400,CLASSIC,2322,38.7,False,True,Yorick,TOP,3,4,1,1.0,279,0,279,7.21,15508,17413,30111,6,3,0,19,1,True,7,16.11.782.9736
NA1_5574751155,2026-06-04T13:23:22Z,400,CLASSIC,1042,17.4,False,True,Yorick,TOP,1,1,2,3.0,101,0,101,5.82,7065,7065,10580,1,1,0,12,1,False,3,16.11.782.9736
NA1_5574756846,2026-06-04T13:46:24Z,400,CLASSIC,1640,27.3,False,True,Nasus,TOP,0,5,1,0.2,131,4,135,4.94,7810,3616,23230,4,2,0,15,0,False,2,16.11.782.9736
NA1_5574762034,2026-06-04T14:18:47Z,400,CLASSIC,77,1.3,True,False,Yorick,TOP,0,0,0,,2,0,2,1.56,566,0,22,0,0,0,1,0,False,0,16.11.782.9736
NA1_5574763790,2026-06-04T14:24:38Z,400,CLASSIC,1583,26.4,False,False,Viktor,MIDDLE,2,7,3,0.71,99,0,99,3.75,6933,12506,19086,0,0,0,13,1,False,0,16.11.782.9736
NA1_5574765720,2026-06-04T14:55:20Z,400,CLASSIC,2895,48.2,False,False,Viktor,MIDDLE,2,9,2,0.44,184,6,190,3.94,12501,13427,25245,12,7,0,17,1,False,0,16.11.782.9736
NA1_5578145777,2026-06-09T15:18:24Z,400,CLASSIC,1528,25.5,False,True,Nasus,TOP,5,2,2,3.5,128,0,128,5.03,9602,14838,25358,0,0,0,16,1,False,4,16.11.782.9736
NA1_5578155969,2026-06-09T16:04:03Z,440,CLASSIC,1552,25.9,False,False,Gangplank,Invalid,0,3,9,3.0,35,0,35,1.35,4980,4392,9173,0,0,0,12,0,False,0,16.11.782.9736
NA1_5578180863,2026-06-09T17:28:43Z,420,CLASSIC,1944,32.4,False,False,Gangplank,TOP,0,12,7,0.58,128,0,128,3.95,8383,7950,30839,7,3,0,15,0,False,0,16.11.782.9736
NA1_5578192999,2026-06-09T18:07:44Z,420,CLASSIC,2924,48.7,False,False,Nasus,TOP,6,7,8,2.0,241,0,241,4.95,16678,17613,59992,5,3,0,20,1,False,3,16.11.782.9736
NA1_5578768576,2026-06-10T15:31:28Z,400,CLASSIC,2613,43.5,False,True,Nasus,TOP,7,3,11,6.0,220,12,232,5.33,14552,17086,42366,1,0,0,20,2,False,2,16.12.785.1316
NA1_5578841211,2026-06-10T18:57:33Z,420,CLASSIC,2554,42.6,False,False,Nasus,TOP,7,8,9,2.0,193,0,193,4.53,14387,24144,45904,5,1,0,20,2,False,2,16.12.785.1316
NA1_5579438421,2026-06-11T12:43:41Z,400,CLASSIC,961,16.0,False,False,Swain,MIDDLE,0,6,0,0.0,54,0,54,3.37,3228,2999,14128,0,0,0,9,0,False,0,16.12.785.1316
NA1_5579447050,2026-06-11T13:28:12Z,1750,CHERRY,1595,26.6,False,False,Draven,Invalid,2,6,7,1.5,0,0,0,0.0,7376,11265,12981,0,0,0,13,1,False,0,16.12.785.1316
NA1_5579452822,2026-06-11T13:57:17Z,400,CLASSIC,3371,56.2,False,False,Nasus,TOP,4,12,10,1.17,242,0,242,4.31,17984,26707,81926,12,8,0,20,1,False,2,16.12.785.1316
NA1_5580123344,2026-06-12T12:49:14Z,400,CLASSIC,1620,27.0,False,False,Nasus,TOP,0,5,2,0.4,106,0,106,3.93,6338,7051,26845,7,3,0,15,0,False,0,16.12.786.9679
NA1_5580181511,2026-06-12T16:52:19Z,420,CLASSIC,2146,35.8,False,False,Nasus,TOP,6,5,9,3.0,145,0,145,4.05,10593,21833,41735,11,5,0,18,1,False,0,16.12.786.9679
NA1_5580198318,2026-06-12T17:35:46Z,420,CLASSIC,2202,36.7,False,False,Nasus,TOP,8,6,6,2.33,163,0,163,4.44,12187,19857,48090,2,1,0,19,2,False,0,16.12.786.9679
NA1_5580218046,2026-06-12T18:23:31Z,440,CLASSIC,1886,31.4,False,False,Vladimir,TOP,4,5,6,2.0,149,0,149,4.74,9466,8946,23026,12,5,0,16,1,False,0,16.12.786.9679
NA1_5580233666,2026-06-12T19:04:57Z,400,CLASSIC,1800,30.0,False,False,Singed,TOP,5,4,2,1.75,272,0,272,9.07,11342,15238,27970,11,4,0,17,1,False,0,16.12.786.9679
NA1_5580253271,2026-06-12T19:45:14Z,400,CLASSIC,1712,28.5,False,True,Singed,TOP,2,3,4,2.0,248,0,248,8.69,12122,14580,20204,7,4,0,17,1,False,4,16.12.786.9679
NA1_5580387380,2026-06-12T23:43:42Z,400,CLASSIC,1225,20.4,False,True,Singed,TOP,1,0,1,,200,0,200,9.8,7759,9614,14376,5,3,0,14,1,False,2,16.12.786.9679
NA1_5580410780,2026-06-13T00:14:10Z,400,CLASSIC,1286,21.4,False,True,Singed,TOP,0,1,6,6.0,161,0,161,7.51,7231,8278,16690,7,3,0,13,0,False,0,16.12.786.9679
